,Headlines,Article,Published_Dates,Source_URLs
134,"Pune: Ex-cop loses Rs 10,000 to ATM sanitization trick by duo",,2020-08-12,https://timesofindia.indiatimes.com/city/pune/retd-cop-loses-rs-10k-with-atm-sanitization-hoax/articleshow/77438594.cms
135,"Sanitation workers, gardeners’ protest suspended for 10 days",,2020-08-12,https://timesofindia.indiatimes.com/city/dehradun/sanitation-workers-gardeners-protest-suspended-for-10-days/articleshow/77420840.cms
136,Gujarat: Sanitation worker dies hours after getting Covid-19 vaccine,,2020-08-12,https://timesofindia.indiatimes.com/city/vadodara/gujarat-sanitation-worker-dies-hours-after-getting-covid-19-vaccine/articleshow/80616710.cms
137,Sanitation work is permanent: Telangana HC,,2020-08-12,https://timesofindia.indiatimes.com/city/hyderabad/sanitation-work-is-permanent-hc/articleshow/78304628.cms
138,Chandigarh's young cricketer wants to be an actor to promote sports and sanitation,,2020-08-12,https://timesofindia.indiatimes.com/entertainment/events/chandigarh/chandigarhs-young-cricketer-wants-to-be-an-actor-to-promote-sports-and-sanitation/articleshow/80217742.cms
139,Chandigarh's young cricketer wants to be an actor to promote sports and sanitation,,2020-08-12,https://timesofindia.indiatimes.com/city/chandigarh/chandigarhs-young-cricketer-wants-to-be-an-actor-to-promote-sports-and-sanitation/articleshow/80218067.cms
140,Government caps maximum retail price of 200ml hand sanitizer at Rs 100 till June,,2020-03-21,https://timesofindia.indiatimes.com/business/india-business/government-caps-maximum-retail-price-of-200ml-hand-sanitizer-at-rs-100-till-june/articleshow/74745840.cms
141,"In Secunderabad Cantonment Board, 3rd round of sanitisation on",,2020-03-21,https://timesofindia.indiatimes.com/city/hyderabad/in-secunderabad-cantonment-board-3rd-round-of-sanitisation-on/articleshow/77328681.cms
142,"In the grip of mystery disease, idyllic village seeks clean water, sanitation",,2020-03-21,https://timesofindia.indiatimes.com/city/vijayawada/in-the-grip-of-mystery-disease-idyllic-village-seeks-clean-water-sanitation/articleshow/80515925.cms
143,"Focus on sanitation, garbage collection in JMC Greater’s 1st GBM",,2020-03-21,https://timesofindia.indiatimes.com/city/jaipur/focus-on-sanitation-garbage-collection-in-jmc-greaters-1st-gbm/articleshow/80520055.cms
144,"Telangana: Students in educational institutions get masks, sanitizers in Hyderabad",,2020-03-21,https://timesofindia.indiatimes.com/city/hyderabad/telangana-students-in-educational-institutions-get-masks-sanitizers-in-hyderabad/articleshow/80512487.cms
145,Noida Authority meets sanitation staff,,2020-03-21,https://timesofindia.indiatimes.com/city/noida/noida-authority-meets-sanitation-staff/articleshow/78243749.cms
146,"UP: Kin, colleagues blame nagar palika for sanitation worker’s death, seek compensation",,2020-03-21,https://timesofindia.indiatimes.com/city/meerut/kin-colleagues-blame-nagar-palika-for-sanitation-workers-death-seek-compensation/articleshow/80176511.cms
147,Louis Vuitton owner just moved the internet by announcing that its perfume factory will produce hand sanitizer to fight Coronavirus,,2020-03-21,https://timesofindia.indiatimes.com/life-style/beauty/louis-vuitton-owner-just-moved-the-internet-by-announcing-that-its-perfume-factory-will-produce-hand-sanitizer-to-fight-coronavirus/articleshow/74659247.cms
148,Virat Kohli named brand ambassador for sanitation brand,,2020-03-21,https://timesofindia.indiatimes.com/sports/off-the-field/virat-kohli-named-brand-ambassador-for-sanitation-brand/articleshow/79247064.cms
149,"Coronavirus: Hand sanitizers can hurt children's eyes, study claims",,2020-03-21,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-hand-sanitizers-can-hurt-childrens-eyes-study-claims/articleshow/80477745.cms
150,Board to bear exam centre sanitization costs,,2020-03-21,https://timesofindia.indiatimes.com/city/nagpur/board-to-bear-exam-centre-sanitization-costs/articleshow/79238464.cms
151,Delhi airport to relocate UV sanitisation tunnels to inline baggage handling system,,2020-03-21,https://timesofindia.indiatimes.com/city/delhi/delhi-airport-to-relocate-uv-sanitisation-tunnels-to-inline-baggage-handling-system/articleshow/77261215.cms
152,Government bans export of alcohol-based hand sanitisers,,2020-03-21,https://timesofindia.indiatimes.com/business/india-business/government-bans-exports-of-alcohol-based-hand-sanitizers/articleshow/75578860.cms
153,Ahaana Krishna tests negative for COVID-19,,2020-03-21,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/ahaana-krishna-tests-negative-for-covid-19/articleshow/80149383.cms
154,"MP: Gwalior civic chief, Katni SP removed",,2020-03-21,https://timesofindia.indiatimes.com/city/bhopal/mp-gwalior-civic-chief-katni-sp-removed/articleshow/80107496.cms
155,Surat: Eunuchs reach out to lockdown-hit needy,,2020-03-21,https://timesofindia.indiatimes.com/city/surat/eunuchs-reach-out-to-lockdown-hit-needy/articleshow/80103698.cms
156,"Gujarat: Now, water-based hand sanitizers",,2020-03-21,https://timesofindia.indiatimes.com/city/rajkot/now-water-based-hand-sanitizers/articleshow/79179278.cms
157,"JNTU-H & OU seek sanitation, logistical plans from colleges",,2020-03-21,https://timesofindia.indiatimes.com/city/hyderabad/jntu-h-ou-seek-sanitation-logistical-plans-from-colleges/articleshow/80413392.cms
158,Sanitation workers in UP ‘forced’ to donate Rs 100 for Ram Mandir,,2020-03-21,https://timesofindia.indiatimes.com/city/bareilly/sanitation-workers-forced-to-donate-rs-100-for-ram-mandir/articleshow/80411377.cms
159,"Cards not sanitized, gamblers booked",,2020-03-21,https://timesofindia.indiatimes.com/city/ahmedabad/cards-not-sanitized-gamblers-booked/articleshow/77207562.cms
160,"Pune: Schools’ support staff play crucial role to keep teachers, students safe",,2021-01-02,https://timesofindia.indiatimes.com/city/pune/schools-support-staff-play-crucial-role-to-keep-teachers-students-safe/articleshow/80065440.cms
161,"Covid: Sanitation staff, pharmacists may be on 1st vax list",,2021-01-02,https://timesofindia.indiatimes.com/india/covid-sanitation-staff-pharmacists-may-be-on-1st-vax-list/articleshow/80066458.cms
162,"In 2 months, 7 die after drinking hand sanitizer in Vijayawada",,2021-01-02,https://timesofindia.indiatimes.com/city/vijayawada/in-2-months-7-die-after-drinking-hand-sanitizer-in-vijayawada/articleshow/77055828.cms
163,"2020 in a review: Masks, oximeters & weight loss products are highly-sold products in Health & Fitness from TOI Most Searched Products",,2021-01-02,https://timesofindia.indiatimes.com/most-searched-products/health-and-fitness/health-care/2020-in-a-review-masks-oximeters-weight-loss-products-are-highly-sold-products-in-health-fitness-from-toi-most-searched-products/articleshow/80020892.cms
164,"Amid the pandemic, GHMC rakes in over Rs 2,000 crore revenue",,2021-01-02,https://timesofindia.indiatimes.com/city/hyderabad/amid-the-pandemic-ghmc-rakes-in-over-rs-2k-cr-revenue/articleshow/80017219.cms
165,RMC sanitation workers strike called off after mayor’s intervention,,2021-01-02,https://timesofindia.indiatimes.com/city/ranchi/rmc-sanitation-workers-strike-called-off-after-mayors-intervention/articleshow/77027647.cms
166,Private schools in Telangana want sanitation fee to ward off Covid,,2021-01-02,https://timesofindia.indiatimes.com/city/hyderabad/pvt-schools-want-sanitation-fee-to-ward-off-covid/articleshow/80318966.cms
167,Pune: Enthusiasts make sanitizers at home,,2021-01-02,https://timesofindia.indiatimes.com/city/pune/pune-enthusiasts-make-sanitizers-at-home/articleshow/77014246.cms
168,"Maharashtra govt says usher in New Year at home, makes businesses unhappy",,2021-01-02,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-govt-says-usher-in-new-year-at-home-makes-businesses-unhappy/articleshow/80001704.cms
169,"GHMC workers accuse pvt firms of cheating, blackmail",,2021-01-02,https://timesofindia.indiatimes.com/city/hyderabad/ghmc-workers-accuse-pvt-firms-of-cheating-blackmail/articleshow/80000318.cms
170,GGH sanitation worker gets first Covid vaccine shot in Andhra Pradesh,,2021-01-02,https://timesofindia.indiatimes.com/city/visakhapatnam/ggh-sanitation-worker-gets-first-covid-vaccine-shot-in-andhra-pradesh/articleshow/80309885.cms
171,GGH sanitation worker gets first Covid vaccine shot in Andhra Pradesh,,2021-01-02,https://timesofindia.indiatimes.com/city/vijayawada/ggh-sanitation-worker-gets-first-covid-vaccine-shot-in-andhra-pradesh/articleshow/80309475.cms
172,GGH sanitation worker gets first Covid vaccine shot in Andhra Pradesh,,2021-01-02,https://timesofindia.indiatimes.com/city/amaravati/ggh-sanitation-worker-gets-first-covid-vaccine-shot-in-andhra-pradesh/articleshow/80309886.cms
173,Sanitation worker at Gandhi gets Telangana’s first Covid vaccine shot,,2021-01-02,https://timesofindia.indiatimes.com/city/hyderabad/sanitation-worker-at-gandhi-gets-ts-first-vaccine-shot/articleshow/80308560.cms
174,Ludhiana businessman develops automatic sanitation machine,,2021-01-02,https://timesofindia.indiatimes.com/city/ludhiana/ludhiana-businessman-develops-automatic-sanitation-machine/articleshow/75251388.cms
175,"Sanitizers are disinfectants like soaps, dettol; attract 18% GST: Finance ministry",,2021-01-02,https://timesofindia.indiatimes.com/business/india-business/sanitizers-are-disinfectants-like-soaps-dettol-attract-18-gst-finance-ministry/articleshow/76980748.cms
176,Kerala will achieve total sanitation status in 2021-22: Isaac,,2021-01-02,https://timesofindia.indiatimes.com/city/thiruvananthapuram/kerala-will-achieve-total-sanitation-status-in-2021-22-isaac/articleshow/80300844.cms
177,Year-end rush pushes up sales at shopping hubs in Kolkata,,2021-01-02,https://timesofindia.indiatimes.com/city/kolkata/year-end-rush-pushes-up-sales-at-shopping-hubs/articleshow/79982046.cms
178,Sanitation worker gets first shot of Covid-19 vaccine in Andhra Pradesh,,2021-01-02,https://timesofindia.indiatimes.com/city/vijayawada/sanitation-workers-gets-first-shot-of-covid-19-vaccine-in-andhra-pradesh/articleshow/80299512.cms
179,Garbage left on Vastrapur roads,,2021-01-02,https://timesofindia.indiatimes.com/city/ahmedabad/garbage-left-on-vastrapur-roads/articleshow/79971761.cms
180,Sanitation workers to get first Covid-19 vaccines in Madhya Pradesh,,2021-01-15,https://timesofindia.indiatimes.com/city/bhopal/sanitation-workers-to-get-first-covid-19-vaccines-in-madhya-pradesh/articleshow/80277472.cms
181,Congress slams Bihar govt over ‘poor’ sanitation,,2021-01-15,https://timesofindia.indiatimes.com/city/patna/congress-slams-govt-over-poor-sanitation/articleshow/78988940.cms
182,BSSS students are indulging in sanitizer making,,2021-01-15,https://timesofindia.indiatimes.com/entertainment/events/bhopal/bsss-students-are-indulging-in-sanitizer-making/articleshow/76932482.cms
183,Uttar Pradesh aims to snare China’s global sanitizer market,,2021-01-15,https://timesofindia.indiatimes.com/city/lucknow/up-aims-to-snare-chinas-global-sanitizer-mkt/articleshow/76916458.cms
184,"Loan denied, sanitation workers dump garbage outside bank in protest",,2021-01-15,https://timesofindia.indiatimes.com/city/vijayawada/loan-denied-sanitation-workers-dump-garbage-outside-bank-in-protest/articleshow/79945866.cms
185,"Sanitizer, protective gear given as part of poll material",,2021-01-15,https://timesofindia.indiatimes.com/city/vadodara/sanitizer-protective-gear-given-as-part-of-poll-material/articleshow/78938646.cms
186,KSR Bengaluru City railway station gets mask and sanitizer dispenser machine,,2021-01-15,https://timesofindia.indiatimes.com/city/bengaluru/ksr-bengaluru-city-railway-station-gets-mask-and-sanitizer-dispenser-machine/articleshow/76880892.cms
187,NDMC to train its safai staff in critical aid,,2021-01-15,https://timesofindia.indiatimes.com/city/delhi/ndmc-to-train-its-safai-staff-in-critical-aid/articleshow/79884877.cms
188,Disinfectant sprays: Affordable & handy options to keep your surroundings clean,,2021-01-15,https://timesofindia.indiatimes.com/most-searched-products/health-and-fitness/health-care/disinfectant-sprays-affordable-handy-options-to-keep-your-surroundings-clean/articleshow/76829246.cms
189,Sanitation worker who handled Covid victims’ bodies honoured,,2021-01-15,https://timesofindia.indiatimes.com/city/trichy/sanitation-worker-who-handled-covid-victims-bodies-honoured/articleshow/80193029.cms
190,Sanitation drives to mark Vijaydashmi in UP's GB Nagar,,2021-01-15,https://timesofindia.indiatimes.com/city/noida/sanitation-drives-to-mark-vijaydashmi-in-ups-gb-nagar/articleshow/78865885.cms
191,"Mission Clean Buddha Nullah: 30 traffic marshals, 60 sanitation staff deployed",,2021-01-15,https://timesofindia.indiatimes.com/city/ludhiana/mission-clean-buddha-nullah-30-traffic-marshals-60-sanitation-staff-deployed/articleshow/79804811.cms
192,"Exams: Who will bear sanitization cost, ask schools",,2021-01-15,https://timesofindia.indiatimes.com/city/nagpur/exams-who-will-bear-sanitization-cost-ask-schools/articleshow/78834868.cms
193,"Pune: Early finish, restricted attendance at ‘midnight’ mass in pandemic year",,2021-01-15,https://timesofindia.indiatimes.com/city/pune/early-finish-restricted-attendance-at-midnight-mass-in-pandemic-year/articleshow/79767415.cms
194,RMC to intensify sanitation work during festive season,,2021-01-15,https://timesofindia.indiatimes.com/city/ranchi/rmc-to-intensify-sanitation-work-during-festive-season/articleshow/78798072.cms
195,"ACS warns of action for slackness in preparation of sanitation map, DPR",,2021-01-15,https://timesofindia.indiatimes.com/city/jaipur/acs-warns-of-action-for-slackness-in-preparation-of-sanitation-map-dpr/articleshow/80104459.cms
196,"Salons, beauty parlours resume business on a cautious note in Pune",,2021-01-15,https://timesofindia.indiatimes.com/city/pune/salons-beauty-parlours-resume-biz-on-a-cautious-note/articleshow/76679626.cms
197,Telangana govt gears up for waste management in city,,2021-01-15,https://timesofindia.indiatimes.com/city/hyderabad/t-govt-gears-up-for-waste-mgmt-in-city/articleshow/79746914.cms
198,Pune: Barbers to scrub and sterilize before they get snipping again,,2021-01-15,https://timesofindia.indiatimes.com/city/pune/barbers-to-scrub-and-sterilize-before-they-get-snipping-again/articleshow/76667652.cms
199,Hand Sanitizer: Maintain your hygiene in an easy way,,2021-01-15,https://timesofindia.indiatimes.com/most-searched-products/health-and-fitness/health-care/hand-sanitizer-maintain-your-hygiene-in-an-easy-way/articleshow/73930592.cms
200,"Get rid of dry skin, follow these fail-safe tips",,2020-12-14,https://timesofindia.indiatimes.com/life-style/beauty/get-rid-of-dry-skin-follow-these-fail-safe-tips/articleshow/79725883.cms
201,Outsourced sanitation workers take mass holiday,,2020-12-14,https://timesofindia.indiatimes.com/city/visakhapatnam/outsourced-sanitation-workers-take-mass-holiday/articleshow/78737012.cms
202,Kolkata's Kalighat temple installs chemical-free sanitization tunnels,,2020-12-14,https://timesofindia.indiatimes.com/city/kolkata/kalighat-temple-installs-chemical-free-sanitisation-tunnels-in-three-gates/articleshow/80076600.cms
203,"Using public restroom during the pandemic, safe or not?",,2020-12-14,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/using-public-restroom-during-the-pandemic-safe-or-not/articleshow/76530007.cms
204,Chandigarh based NGO distributes blankets & essentials to protesting farmers,,2020-12-14,https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-based-ngo-distributes-blankets-essentials-to-protesting-farmers/articleshow/79682300.cms
205,"Allowing maids from non-containment zones is a must, federations tell housing societies",,2020-12-14,https://timesofindia.indiatimes.com/city/mumbai/allowing-maids-from-non-containment-zones-is-a-must-federations-tell-housing-societies/articleshow/76493089.cms
206,"Cap on sanitizer, mask prices soon",,2020-12-14,https://timesofindia.indiatimes.com/city/pune/cap-on-sanitizer-mask-prices-soon/articleshow/77534591.cms
207,"Dalgona coffee, sanitizers and cake — What people googled in 2020",,2020-12-14,https://timesofindia.indiatimes.com/india/dalgona-coffee-sanitizers-and-cake-what-people-googled-in-2020/articleshow/80009565.cms
208,Gujarat companies produce 2 crore litres of sanitiser a day,,2020-12-14,https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-companies-produce-2-crore-litres-of-sanitizer-a-day/articleshow/76415830.cms
209,Gujarat: Odhav man dies after ‘mistakenly’ drinking sanitiser,,2020-12-14,https://timesofindia.indiatimes.com/city/ahmedabad/odhav-man-dies-after-mistakenly-drinking-sanitizer/articleshow/76413795.cms
210,"Covid-19 scare: Untested, Kochi corporation health workers a worried lot",,2020-12-14,https://timesofindia.indiatimes.com/city/kochi/untested-corp-health-workers-a-worried-lot/articleshow/76412395.cms
211,Ensure hand sanitizers in aircraft; minimise crew interaction with flyers: DGCA tells airlines,,2020-12-14,https://timesofindia.indiatimes.com/business/india-business/ensure-hand-sanitizers-in-aircraft-minimise-crew-interaction-with-flyers-dgca-tells-airlines/articleshow/74675461.cms
212,"LG Styler clothes steamer and sanitizer launched at Rs 1,60,000",,2020-12-14,https://timesofindia.indiatimes.com/gadgets-news/lg-styler-clothes-steamer-and-sanitizer-launched-at-rs-160000/articleshow/79952930.cms
213,"Delhi: As sanitation crisis looms at dharna sites, corporation deploys special teams",,2020-12-14,https://timesofindia.indiatimes.com/city/delhi/as-sanitation-crisis-looms-at-dharna-sites-corpn-deploys-special-teams/articleshow/79554605.cms
214,"AFI, HI come up with SOPs: No team championships and relay events, athletes will pass through ‘sanitiser tunnel’",,2020-12-14,https://timesofindia.indiatimes.com/sports/more-sports/others/afi-hi-come-up-with-sops-no-team-championships-and-relay-events-athletes-will-pass-through-sanitiser-tunnel/articleshow/79552667.cms
215,"Tamil Nadu colleges reopen, students stay away",,2020-12-14,https://timesofindia.indiatimes.com/home/education/news/tamil-nadu-colleges-reopen-students-stay-away/articleshow/79539433.cms
216,Pile of trash line Rudrapur streets even as sanitation workers end strike,,2020-12-14,https://timesofindia.indiatimes.com/city/dehradun/pile-of-trash-line-rudrapur-streets-even-as-sanitation-workers-end-strike/articleshow/79878611.cms
217,"GHMC elections: Sanitation, distancing norms flouted at polling stations",,2020-12-14,https://timesofindia.indiatimes.com/city/hyderabad/sanitation-distancing-norms-flouted-at-polling-stns/articleshow/79519480.cms
218,Gujarat: Touchless sanitiser keeps machine clean,,2020-12-14,https://timesofindia.indiatimes.com/city/ahmedabad/touchless-sanitizer-keeps-machine-clean/articleshow/76251125.cms
219,"Visakhapatnam: Man mistakes sanitizer for water, dies",,2020-12-14,https://timesofindia.indiatimes.com/city/visakhapatnam/man-mistakes-sanitizer-for-water-dies/articleshow/76250008.cms
220,Societies help the Mumbai get back to its feisty self and usher in new ‘cool’,,2020-06-07,https://timesofindia.indiatimes.com/city/mumbai/societies-help-the-mumbai-get-back-to-its-feisty-self-and-usher-in-new-cool/articleshow/76241325.cms
221,Kids at Agra juvenile home living in dirty conditions,,2020-06-07,https://timesofindia.indiatimes.com/city/agra/children-at-agra-juvenile-home-living-in-unhygienic-condition-no-teacher-at-centre/articleshow/79480051.cms
222,Hand sanitizer makers see 10-folds jump in sales; ramp up production,,2020-06-07,https://timesofindia.indiatimes.com/business/india-business/hand-sanitizer-makers-see-10-folds-jump-in-sales-ramp-up-production/articleshow/74497994.cms
223,Trichy corporation provides hand sanitizer at bus stops,,2020-06-07,https://timesofindia.indiatimes.com/city/trichy/trichy-corpn-provides-hand-sanitizer-at-bus-stops/articleshow/76204632.cms
224,"‘Govt focus is to ensure access to water, sanitation to marginalised’",,2020-06-07,https://timesofindia.indiatimes.com/city/jaipur/govt-focus-is-to-ensure-access-to-water-sanitation-to-marginalised/articleshow/78414663.cms
225,"Patna: Social distancing norms, use of masks go for a toss",,2020-06-07,https://timesofindia.indiatimes.com/city/patna/social-distancing-norms-use-of-masks-go-for-a-toss/articleshow/79433602.cms
226,PMC conducts anti-larva operation,,2020-06-07,https://timesofindia.indiatimes.com/city/patna/pmc-conducts-anti-larva-operation/articleshow/79414580.cms
227,‘UV sanitizers only for surfaces’,,2020-06-07,https://timesofindia.indiatimes.com/city/lucknow/uv-sanitizers-only-for-surfaces/articleshow/76251667.cms
228,Covid overcaution bringing other ailments to many,,2020-06-07,https://timesofindia.indiatimes.com/city/nagpur/covid-overcaution-bringing-other-ailments-to-many/articleshow/79396611.cms
229,5 sanitation staff test positive,,2020-06-07,https://timesofindia.indiatimes.com/city/ahmedabad/5-sanitation-staff-test-positive/articleshow/77175699.cms
230,Bengal: No reopening decision yet for schools either,,2020-06-07,https://timesofindia.indiatimes.com/city/kolkata/no-reopening-decision-yet-for-schools-either/articleshow/79377229.cms
231,Tourism body appeals govt over sanitation,,2020-06-07,https://timesofindia.indiatimes.com/city/hyderabad/tourism-body-appeals-govt-over-sanitation/articleshow/78325180.cms
232,"Birthday Pledge: Suresh Raina to build sanitation, drinking water facilities at 34 schools",,2020-06-07,https://timesofindia.indiatimes.com/sports/off-the-field/birthday-pledge-suresh-raina-to-build-sanitation-drinking-water-facilities-at-34-schools/articleshow/79367177.cms
233,Rs 8 crore loan for redevelopment of Kadri Market,,2020-06-07,https://timesofindia.indiatimes.com/city/mangaluru/rs-8-crore-loan-for-redevelopment-of-kadri-market/articleshow/79356811.cms
234,40% of sanitation staff yet to join work,,2020-06-07,https://timesofindia.indiatimes.com/city/noida/40-of-sanitation-staff-yet-to-join-work/articleshow/78305636.cms
235,Sanitation staff can’t be sacked: Telangana HC,,2020-06-07,https://timesofindia.indiatimes.com/city/hyderabad/sanitation-staff-cant-be-sacked-hc/articleshow/78304622.cms
236,GPS watches: Chandigarh sanitation staff to protest on Feb 27,,2020-06-07,https://timesofindia.indiatimes.com/city/chandigarh/gps-watches-chandigarh-sanitation-staff-to-protest-on-feb-27/articleshow/74264877.cms
237,Mangaluru: Rs 8 crore loan for redevelopment of Kadri Market,,2020-06-07,https://timesofindia.indiatimes.com/city/mangaluru/mangaluru-rs-8-crore-loan-for-redevelopment-of-kadri-market/articleshow/79341303.cms
238,Man held for selling spurious sanitizers,,2020-06-07,https://timesofindia.indiatimes.com/city/vadodara/man-held-for-selling-spurious-sanitizers/articleshow/77094023.cms
239,MC commissioner ticks off staff for ‘unclean’ Suvidha Centre,,2020-06-07,https://timesofindia.indiatimes.com/city/ludhiana/mc-commissioner-ticks-off-staff-for-unclean-suvidha-centre/articleshow/79330404.cms
240,India will support a possibility for world to get access to clean drinking water: Suresh Prabhu,,2020-11-20,https://timesofindia.indiatimes.com/india/india-will-support-a-possibility-for-world-to-get-access-to-clean-drinking-water-suresh-prabhu/articleshow/79324302.cms
241,20 per cent of rural households in Karnataka lack toilets,,2020-11-20,https://timesofindia.indiatimes.com/city/bengaluru/20-of-rural-households-in-karnataka-lack-toilets/articleshow/79313577.cms
242,Ghats ready to host Chhath devotees today,,2020-11-20,https://timesofindia.indiatimes.com/city/ranchi/ghats-ready-to-host-chhath-devotees-today/articleshow/79309913.cms
243,"Lucknow: Thermal scan, sanitization must before entry to ghats",,2020-11-20,https://timesofindia.indiatimes.com/city/lucknow/thermal-scan-sanitization-must-before-entry-to-ghats/articleshow/79291902.cms
244,"Mumbai: Upmarket schools pull out all stops, but others struggle to buy sanitisers",,2020-11-20,https://timesofindia.indiatimes.com/city/mumbai/upmarket-schools-pull-out-all-stops-but-others-struggle-to-buy-sanitisers/articleshow/79273503.cms
245,Sanitation workers stage dharna in Muzaffarnagar city to press for unpaid wages,,2020-11-20,https://timesofindia.indiatimes.com/city/meerut/sanitation-workers-stage-dharna-in-mngr-city-to-press-for-unpaid-wages/articleshow/79268735.cms
246,UV rays to sanitize OMR sheets for UPSEE aspirants,,2020-11-20,https://timesofindia.indiatimes.com/city/lucknow/uv-rays-to-sanitize-omr-sheets-for-upsee-aspirants/articleshow/78198113.cms
247,Noida: Lathicharge on sanitation workers during protest,,2020-11-20,https://timesofindia.indiatimes.com/city/noida/lathicharge-on-sanitation-workers-during-protest/articleshow/78194812.cms
248,Toilet Seat Sanitizer Spray: Prevent infections when using public washrooms,,2020-11-20,https://timesofindia.indiatimes.com/most-searched-products/health-and-fitness/health-care/toilet-seat-sanitizer-sprays-prevent-infections-when-using-public-washrooms/articleshow/74131668.cms
249,"Actors Madhavan, Tapsee Pannu and other celebs to speak about sanitation",,2020-11-20,https://timesofindia.indiatimes.com/city/chennai/actors-madhavan-tapsee-pannu-and-other-celebs-to-speak-about-sanitation/articleshow/79244506.cms
250,"Migrants returning to Surat greeted with masks, sanitizers",,2020-11-20,https://timesofindia.indiatimes.com/city/surat/migrants-returning-to-surat-greeted-with-masks-sanitizers/articleshow/78134043.cms
251,"Sanitizer dispensers in demand as shops, offices open for business",,2020-11-20,https://timesofindia.indiatimes.com/city/trichy/sanitizer-dispensers-in-demand-as-shops-offices-open-for-business/articleshow/75767838.cms
252,"MCemployees push for better working conditions for sewermen, sanitation staff",,2020-11-20,https://timesofindia.indiatimes.com/city/chandigarh/mcemployees-push-for-better-working-conditions-for-sewermen-sanitation-staff/articleshow/79571021.cms
253,21 cities in Ganga basin dump 60% of excreta into river: CSE report,,2020-11-20,https://timesofindia.indiatimes.com/home/environment/21-cities-in-ganga-basin-dump-60-of-excreta-into-river-cse-report/articleshow/79211328.cms
254,Happy Diwali 2020: Important health tips to follow for a safe Diwali in the times of coronavirus and rising air pollution,,2020-11-20,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/happy-diwali-2020-important-health-tips-to-follow-for-a-safe-diwali-in-the-times-of-coronavirus-and-rising-air-pollution/articleshow/79173733.cms
255,Mysuru City Corporation restricts number of cracker shops,,2020-11-20,https://timesofindia.indiatimes.com/city/mysuru/mysuru-city-corporation-restricts-number-of-cracker-shops/articleshow/79198873.cms
256,Patna: Civic bodies to hire agencies for sanitation,,2020-11-20,https://timesofindia.indiatimes.com/city/patna/civic-bodies-to-hire-agencies-for-sanitation/articleshow/74013663.cms
257,HC closed on Sept 14-15 for sanitization,,2020-11-20,https://timesofindia.indiatimes.com/city/allahabad/hc-closed-on-sept-14-15-for-sanitization/articleshow/78068194.cms
258,"On day 3 of sanitation workers strike, Patna DM takes steps to remove garbage",,2020-11-20,https://timesofindia.indiatimes.com/city/patna/on-day-3-of-strike-patna-dm-takes-steps-to-remove-garbage/articleshow/73968928.cms
259,Pay sanitation worker as much as class-IV staffer: Rajasthan HC to govt,,2020-11-20,https://timesofindia.indiatimes.com/city/jaipur/pay-sanitation-worker-as-much-as-class-iv-staffer-hc-to-govt/articleshow/73944303.cms
260,"Online tickets, sanitization breaks to be normal at zoos",,2020-09-11,https://timesofindia.indiatimes.com/city/kolkata/online-tickets-sanitization-breaks-to-be-normal-at-zoos/articleshow/78047094.cms
261,Doc designs wearable sanitizer,,2020-09-11,https://timesofindia.indiatimes.com/city/kochi/doc-designs-wearable-sanitizer/articleshow/75788325.cms
262,Poor garbage collection service causing sanitation woes in Vijaypur,,2020-09-11,https://timesofindia.indiatimes.com/city/dehradun/poor-garbage-collection-service-causing-sanitation-woes-in-vijaypur/articleshow/79497487.cms
